Common name,Scientific name,,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fruit,Fish,Rodent,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Citizen Scientist,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
American Redstart,Setophaga ruticilla,swiftstart,Brown,,Gain 1 [wild] from the birdfeeder.,,,,4,Bowl,4,20,X,,,1,,1,,,,,,2,,X,,X,,,,,,,,,,,X,,,,X,,,,X,,X
American Robin,Turdus migratorius,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,1,Bowl,4,43,X,X,,1,,1,,,,X,,1,,X,,,X,X,X,,X,,,,,,,,,,,,,,X,,X
American White Pelican ,Pelecanus erythrorhynchos,originalcore,Brown,Flocking,Discard a [fish] to tuck 2 [card] from the deck behind this bird.,,X,,5,Ground,1,274,,,X,,,,2,,,,,2,,X,,X,,,X,,X,,X,,X,,,X,,,,,,,,X,
American Woodcock,Scolopax minor,originalcore,,,,,,,9,Ground,2,46,X,X,,2,1,,,,,,,3,,X,,,,X,,X,,X,X,,,,,,,,,,,,,,
Anhinga,Anhinga anhinga,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,6,Platform,2,114,,,X,,,,2,,,,,2,,,,,,,,,,,,X,X,,,X,,,,X,,,,X,
Anna's Hummingbird ,Calypte anna,originalcore,Brown,Food from Birdfeeder,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",,,,4,Bowl,2,13,X,X,X,,,,,,1,,,1,,,X,,,X,,,,,,,,,,,,X,X,,,,,,X
Ash-Throated Flycatcher ,Myiarchus cinerascens,originalcore,White,Egg-laying,Lay 1 [egg] on each of your birds with a [cavity] nest.,,,,4,Cavity,4,30,,X,,2,,1,,,,,,3,X,,,X,,,,,,X,,,,,,,X,,X,,X,,X,,
Atlantic Puffin,Fratercula arctica,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,8,Wild,1,53,,,X,,,,3,,,,,3,,X,,,,,,,,X,X,,X,,,,X,,,X,,,,X,X
Audouin's Gull,Ichthyaetus audouinii,european,Brown,Flocking,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,,X,,1,Ground,2,132,,,X,,,,1,,1,,,2,,,X,,X,,X,,X,,X,,X,,,X,,X,,,,,,X,
Baird's Sparrow ,Ammodramus bairdii,originalcore,Brown,Egg-laying,Lay 1 [egg] on any bird.,,,,3,Ground,2,23,,X,,1,1,,,,,,,2,,,X,,X,,,X,,,X,,,,,,,,X,,X,,,,
Bald Eagle ,Haliaeetus leucocephalus,originalcore,White,Food from Birdfeeder,Gain all [fish] that are in the birdfeeder.,,,,9,Platform,1,203,,,X,,,,2,1,,,,3,,,,,,,,,,X,,,X,,,X,,,,X,,X,,X,
Baltimore Oriole ,Icterus galbula,originalcore,Brown,Food from Supply,All players gain 1 [fruit] from the supply.,,,,9,Wild,2,30,X,,,1,,2,,,,,,3,,X,,,,,,,,X,X,,,,X,,X,,X,X,,,X,,X
Barn Owl,Tyto alba,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,5,Cavity,4,107,X,X,X,,,,,2,,,,2,,,,,,X,,,,,,X,,,,X,X,,,,,X,,,
Barn Swallow,Hirundo rustica,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,1,Wild,3,38,,X,X,1,,,,,,,,1,,,,,X,X,X,,X,,X,,,X,,,X,,,X,,,,,X
Barred Owl,Strix varia,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,3,Cavity,2,107,X,,,,,,,1,,,,1,,,,,X,,,,X,,,X,,,X,X,X,,,,,X,,,
Barrow's Goldeneye ,Bucephala islandica,originalcore,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [cavity] nest.",,,,5,Cavity,4,71,,,X,1,1,,1,,,,,3,X,,X,X,,,,X,,X,,,X,,,X,X,,,,,,,X,
Bell's Vireo,Vireo bellii,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,4,Wild,2,18,X,X,,2,,,,,,,,2,,,X,,,X,,,,,X,,,X,,,X,,X,X,,,,,X
Belted Kingfisher ,Megaceryle alcyon,originalcore,Pink,Food from Supply,"When another player plays a [wetland] bird, gain 1 [fish] from the supply.",,,,4,Wild,4,53,,,X,,,,1,,1,,,2,,,,,,,,,,,X,,X,,,,X,X,,X,,,,X,X
Bewick's Wren,Thryomanes bewickii,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,4,Cavity,3,18,X,X,X,2,1,,,,,,,3,,,X,,,X,,X,,X,,,,,,,X,,X,,,,,,
Black Redstart,Phoenicurus ochruros,european,Teal,Egg-laying,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,,,,0,Wild,4,24,,X,,1,1,1,,,,,,3,,,,X,X,,,X,,X,X,,,,,,X,,X,X,X,,X,,X
Black Skimmer ,Rynchops niger,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,6,Ground,2,112,,,X,,,,2,,,,,2,,,,X,,,,,,,X,X,X,,,X,,,,,,,,X,
Black Tern,Chlidonias niger,originalcore,Brown,Card-drawing,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,4,Wild,2,61,,,X,1,,,1,,,X,,1,,,,X,,,,,,,X,,X,,,,X,,,X,,,,X,X
Black Vulture ,Coragyps atratus,originalcore,Pink,Food from Birdfeeder,"When another player's predator succeeds, gain 1 [die] from the birdfeeder.",,,,2,Cavity,1,150,X,,,,,,,,,,,0,,,,X,X,,,,,,,,,,X,X,X,,,,,,,,
Black Woodpecker,Dryocopus martius,european,Brown,Food-related,Gain all [invertebrate] that are in the birdfeeder.,,,,4,Cavity,2,70,X,,,2,,1,,,,,,3,,,,X,,,,,,X,,,,,X,X,X,,,,,,X,,
Black-Bellied Whistling Duck,Dendrocygna autumnalis,originalcore,Brown,Flocking,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,,X,,2,Cavity,5,76,,,X,,2,,,,,,,2,X,,,X,X,,X,X,X,,,,,,,X,X,,,,,,,X,
Black-Billed Magpie ,Pica hudsonia,originalcore,Pink,Food from Birdfeeder,"When another player's predator succeeds, gain 1 [die] from the birdfeeder.",,,,3,Wild,3,64,,X,,,,,,,2,,,2,X,,,X,X,,,,,,X,,,,,,X,X,,X,X,,,,X
Black-Chinned Hummingbird,Archilochus alexandri,swiftstart,Brown,,All players gain a [fruit] from the supply.,,,,4,Bowl,2,8,X,X,X,,,,,,1,,,1,X,,,X,,X,,,,,,,,,,,,X,X,,,,,,X
Black-Crowned Night-Heron ,Nycticorax nycticorax,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,,,,9,Platform,2,112,,,X,1,,,1,1,,,,3,X,,,X,,,,,,X,,,X,,,X,,,,X,,X,,X,
Black-Headed Gull,Chroicocephalus ridibundus,european,Brown,Food-related,Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.,,,,3,Ground,2,102,,,X,1,,,,,1,,,2,X,,,X,X,,,,,,X,,,,,X,,X,,,,,,X,
Black-Necked Stilt ,Himantopus mexicanus,originalcore,White,Card-drawing,Draw 2 [card].,,,,4,Ground,2,74,,,X,2,,,,,,,,2,X,,,X,,,,,,,X,,,X,,X,,,,,,,,X,
Black-Tailed Godwit,Limosa limosa,european,White,Other,Draw 1 new bonus card. Then draw 3 [card] and keep 1 of them.,,,X,6,Ground,2,76,,,X,2,1,,,,,,,3,X,,,X,,,,X,,X,X,,,,,X,,,,,,,,X,
Black-Throated Diver,Gavia arctica,european,Brown,Card-drawing,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",,,,5,Ground,1,120,,,X,,,,2,,,,,2,X,,,X,,,,,,,X,,X,,,X,,,,,,,,X,
Blue Grosbeak,Passerina caerulea,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,4,Bowl,3,28,X,X,X,1,2,,,,,,,3,X,,,X,,X,,X,,X,,,,,,,,,X,,,,,,X
Blue Jay,Cyanocitta cristata,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,3,Bowl,2,41,X,,,,1,,,,1,,,2,,,,X,X,,,X,,,,,,,X,,,X,,,,,,,X
Blue-Gray Gnatcatcher ,Polioptila caerulea,originalcore,Brown,Food from Supply,Gain 1 [invertebrate] from the supply.,,,,1,Bowl,3,15,X,,,1,,,,,,,,1,,,,X,X,,,,,,,,,X,X,,,,X,,,,,,X
Blue-Winged Warbler,Vermivora cyanoptera,originalcore,,,,,,,8,Bowl,2,20,X,X,,2,,,,,,,,2,X,,,X,,X,,,,,,,,X,,,,,X,,,,,,X
Bluethroat,Luscinia svecica,european,Brown,Food-related,Choose a food type. All players gain 1 of that food from the supply.,,,,7,Ground,5,22,,X,X,1,1,1,,,,,,3,X,,,X,,X,,X,,X,X,,,,,,,,X,,,,X,,
Bobolink,Dolichonyx oryzivorus,originalcore,White,Egg-laying,Lay 1 [egg] on each of your birds with a [ground] nest.,,,,4,Ground,3,30,,X,,1,2,,,,,,,3,,,,,,,,X,,X,X,,,,,,,,X,,X,,,,
Bonelli's Eagle,Aquila fasciata,european,White,Hunting and Fishing,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",X,,,8,Platform,1,160,X,X,X,,,,,3,,,X,3,,,X,,,X,,,X,X,,X,,,,X,,,,X,,X,,,
Brant,Branta bernicla,swiftstart,White,,Draw the 3 face-up [card] in the bird tray.,,,,3,Ground,2,114,,,X,,1,,,,1,,,2,,,,,X,,,X,,,X,,,,,X,,X,,,,,,X,
Brewer's Blackbird ,Euphagus cyanocephalus,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,3,Bowl,3,41,,X,,,1,,,,1,,,2,,,X,X,X,,X,X,X,,,,,,,,,X,,,X,,,,X
Broad-Winged Hawk,Buteo platypterus,swiftstart,Brown,,"Roll all dice not in birdfeeder. If any are a [rodent], gain 1 [rodent] and cache it on this card.",X,,,4,Platform,2,85,X,,,,,,,1,,,,1,X,,,,,,,,,,,X,,,X,X,,,,X,,X,,,
Bronzed Cowbird ,Molothrus aeneus,originalcore,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] nest.",,,,5,None,0,36,,X,,1,1,,,,,,,2,,,,X,,,,X,,,,,,,,,,,,,X,,,,
Brown Pelican,Pelecanus occidentalis,originalcore,White,Food from Supply,Gain 3 [fish] from the supply.,,,,4,Platform,2,201,,,X,,,,2,,,,,2,,,,X,,,,,,,,,X,,,X,,,,X,,,,X,
Brown-Headed Cowbird ,Molothrus ater,originalcore,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] nest.",,,,3,None,0,30,,X,,,1,,,,,,,1,X,,,X,X,,,X,,,,,,,,,,,X,,X,,,,
Bullfinch,Pyrrhula pyrrhula,european,Brown,Food-related,"Reset the birdfeeder. If you do, gain 1 [seed] or [fruit] from the birdfeeder after resetting.",,,,3,Bowl,4,24,X,,,,1,1,,,,,,2,,,,,X,,,X,,,,,,,X,,,,X,,,,X,,X
Burrowing Owl ,Athene cunicularia,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,5,Wild,4,53,,X,,1,,,,1,,,,2,,,,,,,,,,,X,X,,,,,X,,,X,X,X,,,X
Bushtit,Psaltriparus minimus,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,2,Wild,5,15,X,X,X,1,1,,,,,,,2,,,,,X,X,X,X,X,,X,,,,,,X,,X,X,,,,,X
California Condor,Gymnogyps californianus,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,1,Ground,1,277,X,X,X,,,,,,,,,0,,X,,,X,X,,,,,X,,,,,X,,,,,,,,,
California Quail ,Callipepla californica,originalcore,Brown,Egg-laying,Lay 1 [egg] on this bird.,,,,3,Ground,6,36,X,X,,1,2,,,,,,,3,,X,,,X,X,,X,,X,X,,,,,,,,,,,,,,
Canada Goose ,Branta canadensis,originalcore,Brown,Flocking,Discard 1 [seed] to tuck 2 [card] from the deck behind this bird.,,X,,3,Ground,3,132,,X,X,,2,,,,,,,2,,X,,,X,X,X,X,X,,X,,,,,X,,,,,,,,,
Canvasback,Aythya valisineria,swiftstart,Brown,,All players draw 1 [card] from the deck.,,,,4,Wild,4,82,,,X,,1,,,,1,,,2,X,,,,,,,X,,,X,,,,,X,X,X,,X,,,,X,X
Carolina Chickadee ,Poecile carolinensis,originalcore,Brown,Caching Food,Gain 1 [seed] from the supply and cache it on this card.,,,,2,Cavity,3,20,X,,,1,1,,,,,X,,1,,X,,,X,,,X,,,,,,,X,,X,,X,,,,,,
Carolina Wren,Thryothorus ludovicianus,originalcore,White,Card-drawing,Draw 2 [card].,,,,1,Cavity,5,20,X,,,1,,1,,,,X,,1,,X,,,X,,,,,,,,,,X,,X,,X,,,,X,,
Carrion Crow,Corvus corone,european,Teal,Food-related,Choose any 1 player (including yourself). Cache 1 [rodent] from the supply on this bird for each [predator] that player has.,,,,3,Platform,2,92,,X,X,1,,,,,1,,,2,,,,,X,X,,,,,,,,,,X,,X,,X,,,,,
Cassin's Finch,Haemorhous cassinii,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,4,Bowl,3,30,X,,,,1,1,,,,,,2,,,X,,,,,X,,,,,,,X,,,,X,,,,X,,X
Cassin's Sparrow ,Peucaea cassinii,originalcore,Brown,Egg-laying,Lay 1 [egg] on any bird.,,,,3,Ground,2,20,,X,,1,1,,,,,,,2,,,X,,X,,,X,,,X,,,,,,,,X,,X,,,,
Cedar Waxwing,Bombycilla cedrorum,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [fruit] from the supply.",,X,,3,Bowl,3,25,X,X,,,,2,,,,,,2,X,,,,X,X,X,,X,,,,,,,,,,X,,,,X,,X
Cerulean Warbler ,Setophaga cerulea,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,4,Bowl,2,20,X,,,1,1,,,,,,,2,,,,X,,,,X,,,,,,,X,,,,X,,,,,,X
Cetti's Warbler,Cettia cetti,european,Teal,Other,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.",,,,4,Bowl,3,17,,,X,1,1,,,,,,,2,,,X,,,,,X,,,,,,,,,,,X,,,,,X,X
Chestnut-Collared Longspur ,Calcarius ornatus,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,5,Ground,4,25,,X,,1,2,,,,,,,3,X,,,X,,,,X,,X,X,,,,,,,,X,,X,,,,
Chihuahuan Raven,Corvus cryptoleucus,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,,,,4,Platform,3,112,,X,,,,,,1,2,,,3,,X,,,,,,,,X,,,,,,X,,X,,X,X,X,,,
Chimney Swift,Chaetura pelagica,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,3,Wild,2,36,X,X,X,2,,,,,,,,2,,,,,X,X,,,,,X,,,X,,,X,,,X,,,,,X
Chipping Sparrow ,Spizella passerina,originalcore,Brown,Egg-laying,Lay 1 [egg] on any bird.,,,,1,Bowl,3,23,X,X,,1,1,,,,,X,,1,,,,,X,X,,X,,,,,,,,,,,X,,,,,,X
Clark's Grebe ,Aechmophorus clarkii,originalcore,Brown,Card-drawing,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,5,Wild,2,61,,,X,,,,1,,,,,1,,,X,,,,,,,,X,,X,,,,X,,,X,,,,X,X
Clark's Nutcracker ,Nucifraga columbiana,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,5,Platform,2,61,X,,,,2,,,,1,,,3,,,X,,,,,X,,X,,,,,X,,,X,,X,,,,,
Coal Tit,Periparus ater,european,Brown,Food-related,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",,,,2,Cavity,6,16,X,,,1,1,,,,,,,2,,,,X,X,,,X,,,,,,,X,,X,,X,,,,,,
Common Blackbird,Turdus merula,european,White,Other,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.",,,,4,Bowl,5,36,X,,,1,,2,,,,,,3,,,,X,,,,,,X,,,,,X,,,,,,,,X,,X
Common Buzzard,Buteo buteo,european,White,Hunting and fishing,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",X,,,4,Platform,2,123,X,X,X,,,,,1,,,X,1,,,,,,X,,,X,,,X,,,,X,,,,X,,X,,,
Common Chaffinch,Fringilla coelebs,european,Brown,Flocking,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,,X,,4,Bowl,2,23,X,X,,1,1,,,,,X,,1,,,,,,X,X,X,X,,,,,,,,,,X,,,,,,X
Common Chiffchaff,Phylloscopus collybita,european,Brown,Flocking,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,,X,,3,Ground,3,20,X,,X,1,1,1,,,,X,,1,,,,,X,X,X,X,X,,X,,,,,,,,X,,,,X,,
Common Cuckoo,Cuculus canorus,european,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] or [ground] nest.",,,,4,None,0,57,X,X,,2,,,,,,,,2,,,,,,X,,,,,,,,X,,,,,,,,,,,
Common Goldeneye,Bucephala clangula,european,Teal,Egg-laying,Lay 1 [egg] on this bird for each other bird with a [cavity] nest that you have.,,,,2,Cavity,4,73,X,,X,1,,,1,,,,,2,X,,,X,X,X,,,,,,,X,,,X,X,,,,,,,,
Common Grackle ,Quiscalus quiscula,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,3,Bowl,3,43,X,X,X,,1,,,,1,,,2,,,,,X,X,X,X,X,,,,,,,,,X,,,,,,,X
Common Kingfisher,Alcedo atthis,european,Brown,Food-related,Steal 1 [fish] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,,,,4,Wild,5,26,,,X,1,,,2,,,,,3,,,,,,,,,,X,X,,X,,,,X,,X,X,,,,X,X
Common Little Bittern,Ixobrychus minutus,european,Brown,Card-drawing,Gain 1 face-up [card] that can live in [grassland].,,,,2,Platform,3,49,,,X,1,,,1,,,,,2,,,,,X,,,,,,,,X,,,,,,,X,,,,X,
Common Loon,Gavia immer,originalcore,Brown,Card-drawing,Player(s) with the fewest [wetland] birds: draw 1 [card].,,,,6,Ground,1,117,,,X,,,,1,,1,,,2,,,,,,,,,,,X,,X,,,X,,X,,,,,,X,
Common Merganser ,Mergus merganser,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,5,Cavity,4,86,,,X,,,,1,,1,,,2,,,,,,,,,,,,X,X,,,X,X,X,,,,,,X,
Common Moorhen,Gallinula chloropus,european,Brown,Other,"Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.",,,,3,Wild,6,53,,,X,1,1,,1,,,,,3,,X,,,X,,,X,,X,X,,X,,,,X,,,X,,,,X,X
Common Nighthawk ,Chordeiles minor,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,3,Ground,2,56,X,X,X,2,,,,,,,,2,,,,,X,X,,,,,X,,,X,,,,,,,,,,,
Common Nightingale,Luscinia megarhynchos,european,Brown,Food-related,Choose a food type. All players gain 1 of that food from the supply.,,,,3,Bowl,4,23,X,X,X,1,1,1,,,,X,,1,,,,,X,X,,X,,,,,,,,,,,X,,,,X,,X
Common Raven,Corvus corax,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,,,,5,Platform,2,135,X,X,X,,,,,1,2,,,3,,,,,,X,,,,X,,,,,,X,,X,,X,,X,,,
Common Starling,Sturnus vulgaris,european,Teal,Flocking,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,3,Cavity,4,38,,X,X,1,1,1,,,,X,,1,,,,,X,X,X,X,X,,,,,,,,X,,,,,,X,,
Common Swift,Apus apus,european,Teal,Flocking,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,5,Cavity,2,46,,X,,1,,,,,,,,1,,,,,,,X,,X,,,,,X,,,X,,,,X,,,,
Common Yellowthroat ,Geothlypis trichas,originalcore,Brown,Card-drawing,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,1,Bowl,4,18,,,X,1,,,,,,,,1,X,,,X,X,,,,,,,,,X,,,,,X,,,,,X,X
Cooper's Hawk ,Accipiter cooperii,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,3,Platform,2,79,X,,,,,,,1,,,,1,,,X,,X,,,,X,,,X,,,X,X,,,,X,,X,,,
Corsican Nuthatch,Sitta whiteheadi,european,White,Other,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,,,X,4,Cavity,2,21,X,,,,2,,,,,,,2,,X,,,,,,X,,,,,,,X,,X,,X,,,,,,
Dark-Eyed Junco,Junco hyemalis,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",,X,,3,Ground,3,23,X,X,,1,1,,,,,,,2,X,,,,X,X,X,X,X,,X,,,,,,,,X,,,,,,
Dickcissel,Spiza americana,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,4,Ground,3,25,,X,,1,2,,,,,,,3,,,,,,,X,X,X,X,X,,,,,,,,X,,X,,,,
Double-Crested Cormorant ,Phalacrocorax auritus,originalcore,Brown,Flocking,Discard [fish] to tuck 2 [card] from the deck behind this bird.,,X,,3,Platform,3,132,,,X,,,,1,,1,,,2,X,,,,X,,X,,X,,,,X,,,X,,X,,X,,,,X,
Downy Woodpecker ,Picoides pubescens,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,3,Cavity,2,30,X,,,1,1,1,,,,X,,1,,,,,X,,,X,,,,,,,X,,X,,X,,,,X,,
Dunnock,Prunella modularis,european,Teal,Egg-laying,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",,,,1,Bowl,4,20,X,,,1,1,,,,,,,2,,,,,X,,,X,,,,,,,X,,,,X,,,,,,X
Eastern Bluebird,Sialia sialis,originalcore,White,Other,Play a second bird in your [grassland]. Pay its normal cost.,,,,4,Cavity,5,33,,X,,1,,1,,,,,,2,,X,,X,,,,,,,,,,,,,X,,,,X,,X,,
Eastern Imperial Eagle,Aquila heliaca,european,White,Hunting and Fishing,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",X,,,7,Platform,2,200,,X,,,,,,3,,,X,3,,X,,,,,,,X,X,,X,,,,X,,,,X,X,X,,,
Eastern Kingbird,Tyrannus tyrannus,originalcore,Pink,Food from Supply,"When another player plays a [forest] bird, gain 1 [invertebrate] from the supply.",,,,2,Bowl,2,38,X,X,X,1,,1,,,,X,,1,,X,,,X,X,,,,,,,,,,,,,,,,,X,,X
Eastern Phoebe ,Sayornis phoebe,originalcore,Brown,Food from Supply,All players gain 1 [invertebrate] from the supply.,,,,3,Wild,4,28,X,X,X,1,,1,,,,X,,1,,X,,,X,X,,,,,X,,,,,,X,,X,X,,,X,,X
