time	playerIndex	year	dwarfIndex	score	move
9:01:28 PM	0	3	1	-19	action: ore_mining__1_3
9:01:23 PM	0	3	2	-19	built farm_tile
9:01:22 PM	0	2	2	-24	oriented: farm_tile
9:01:16 PM	0	2	2	-24	action: sustenance__1_3
9:00:01 PM	0	2	1	-24	built excavation
8:59:59 PM	0	2	1	-26	oriented: excavation
8:59:54 PM	0	2	1	-26	action: excavation__1_3
8:59:12 PM	0	2	2	-26	built farm_tile
8:59:10 PM	0	1	2	-28	oriented: farm_tile
8:59:08 PM	0	1	2	-28	action: sustenance__1_3
8:58:44 PM	0	1	1	-28	action: ore_mining__1_3
8:58:27 PM	0	0	0	0	<NEW_GAME>
